"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","UI should show the user created by API @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","User Management – API / UI integration","specs\userManagement.api.spec.ts","",""
"","0","should login successfully with valid credentials @smoke","Mobile Safari","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","0","should display login page @smoke","firefox","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","1","UI should show the user created by API","chromium","2026-03-03","failed","2026-03-03","User Management – API / UI integration","specs\userManagement.api.spec.ts","",""
"","1","should navigate to Course @regression","firefox","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","1","should navigate to Discussion @regression","firefox","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should navigate to Virtual Class @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should login successfully and show main navigation @smoke","Mobile Chrome","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should navigate to Virtual Class @regression","firefox","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","3853","get started link","firefox","2026-03-06","passed","2026-03-06","","example.spec.ts","",""
"","63324","should logout successfully @smoke","chromium","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","67422","should display a page heading on the dashboard @regression","firefox","2026-03-09","failed","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","0","should be on a post-login URL @smoke","chromium","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","36005","should display login page @smoke","chromium","2026-03-09","failed","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","1","should login successfully and show main navigation @smoke","chromium","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should navigate to all main sections after login @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","67056","should navigate to all ERP sections and verify profile logout","firefox","2026-03-09","failed","2026-03-09","Login All Pages Navigation","Login_all_pages.spec.ts","",""
"","68404","should logout successfully @smoke","chromium","2026-03-09","failed","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","0","should login successfully with valid credentials @smoke","firefox","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","0","should navigate to Virtual Class @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","7455","has title","firefox","2026-03-06","passed","2026-03-06","","example.spec.ts","",""
"","66556","should logout successfully @smoke","firefox","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","30177","login and visit main sections","webkit","2026-03-06","passed","2026-03-06","ERP Navigation Smoke","login1.spec.ts","",""
"","30671","admin can upload marks and see success message","webkit","2026-03-06","broken","2026-03-06","Grade Report Module","specs\gradeReport.spec.ts","",""
"","73255","admin can upload marks and see success message @regression","chromium","2026-03-09","failed","2026-03-09","Grade Report Module","specs\gradeReport.spec.ts","",""
"","18","UI should show the user created by API @regression","chromium","2026-03-09","skipped","2026-03-09","User Management – API / UI integration","specs\userManagement.api.spec.ts","",""
"","5845","debug login POM @debug","chromium","2026-03-09","passed","2026-03-09","","specs\debug_login.spec.ts","",""
"","0","should display login page @smoke","Mobile Safari","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","68110","should navigate to all ERP sections and verify profile logout","chromium","2026-03-09","failed","2026-03-09","Login All Pages Navigation","Login_all_pages.spec.ts","",""
"","3442","get started link","webkit","2026-03-06","passed","2026-03-06","","example.spec.ts","",""
"","64933","should login successfully with valid credentials @smoke","chromium","2026-03-09","failed","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","21545","should display dashboard after login","firefox","2026-03-06","passed","2026-03-06","Login Module","specs\login.spec.ts","",""
"","1","should display a page heading on the dashboard @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","26643","should display dashboard after login","webkit","2026-03-06","passed","2026-03-06","Login Module","specs\login.spec.ts","",""
"","22522","should display dashboard after login","chromium","2026-03-06","passed","2026-03-06","Login Module","specs\login.spec.ts","",""
"","8328","debug login POM @debug","Mobile Safari","2026-03-09","passed","2026-03-09","","specs\debug_login.spec.ts","",""
"","1","should navigate to Discussion @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should navigate to all main sections after login @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","67430","should be on a post-login URL @smoke","firefox","2026-03-09","failed","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","0","should navigate to Course @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should display a page heading on the dashboard @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","30501","admin can upload marks and see success message","firefox","2026-03-06","failed","2026-03-06","Grade Report Module","specs\gradeReport.spec.ts","",""
"","0","should navigate to Course @regression","Mobile Chrome","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should be on a post-login URL @smoke","Mobile Safari","2026-03-09","skipped","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","15563","should verify user profile and logout successfully","chromium","2026-03-07","passed","2026-03-07","Login All Pages Navigation","Login_all_pages.spec.ts","",""
"","16886","should show welcome banner","firefox","2026-03-06","failed","2026-03-06","Dashboard Module","specs\dashboard.spec.ts","",""
"","0","admin can upload marks and see success message @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","Grade Report Module","specs\gradeReport.spec.ts","",""
"","24934","should be able to logout","firefox","2026-03-06","passed","2026-03-06","Login Module","specs\login.spec.ts","",""
"","71358","should navigate to Course @regression","chromium","2026-03-09","failed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","108130","should login successfully @smoke","chromium","2026-03-09","passed","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","0","should logout successfully @smoke","Mobile Chrome","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","67229","should show discussion link in navigation after login @smoke","firefox","2026-03-09","failed","2026-03-09","Dashboard Module","specs\dashboard.spec.ts","",""
"","184320","login and visit main sections","firefox","2026-03-09","passed","2026-03-09","ERP Navigation Smoke","login1.spec.ts","",""
"","1","should navigate through all main sections @regression","Mobile Safari","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
"","1","should have remember me option @regression","firefox","2026-03-09","skipped","2026-03-09","Login Functionality","specs\login.spec.ts","",""
"","1","should login successfully and show main navigation @smoke","Mobile Safari","2026-03-09","skipped","2026-03-09","ERP Navigation Smoke","specs\erp-navigation.smoke.spec.ts","",""
